Routine                  Checksum
-----------------------------------
DSIO01                   45219087
DSIO02                   13205971
DSIO03                   69185936
DSIO04                   168397166
DSIO05                   133371105
DSIO0P                   49855998
DSIO0P2                  10746358
DSIO0PP                  17411725
DSIO1                    233856753
DSIO10                   122725592
DSIO11                   127353631
DSIO12                   17303948
DSIO13                   6464088
DSIO14                   22835356
DSIO15                   104138075
DSIO2                    47555065
DSIO3                    85075698
DSIO4                    86195735
DSIO5                    19009697
DSIO6                    89948171
DSIO61                   28043846
DSIO62                   19451444
DSIO63                   103438392
DSIO64                   39603248
DSIO65                   204832768
DSIO66                   26037036
DSIO67                   26135793
DSIO7                    126079432
DSIO8                    162983859
DSIO9                    69632434
DSIO99                   74217728
