Routine                  Checksum
-----------------------------------
DSIO01                   38755294
DSIO02                   22491355
DSIO03                   67965988
DSIO04                   170471965
DSIO05                   135916401
DSIO0P                   13740184
DSIO1                    233856753
DSIO10                   124596170
DSIO11                   129347101
DSIO12                   17303948
DSIO13                   6464088
DSIO14                   23508049
DSIO15                   105769910
DSIO2                    48466150
DSIO3                    85909416
DSIO4                    87986212
DSIO5                    21712556
DSIO6                    91951299
DSIO61                   28329570
DSIO62                   19664481
DSIO63                   90924457
DSIO64                   38927309
DSIO65                   187280520
DSIO66                   26713904
DSIO67                   26843295
DSIO7                    125430151
DSIO8                    165206202
DSIO9                    71002033
DSIO99                   77210045
