Routine                  Checksum
-----------------------------------
DSIO01                   45863266
DSIO02                   13491801
DSIO03                   69171733
DSIO04                   169747452
DSIO05                   135140251
DSIO1                    236370611
DSIO10                   124050309
DSIO11                   98484580
DSIO12                   17656853
DSIO13                   6652806
DSIO14                   25514637
DSIO15                   110165303
DSIO2                    55654386
DSIO3                    99231869
DSIO3P                   24151845
DSIO4                    87947577
DSIO5                    19546752
DSIO6                    91556324
DSIO61                   28528926
DSIO62                   19877518
DSIO63                   104630430
DSIO64                   40176008
DSIO65                   219296083
DSIO66                   26467954
DSIO67                   26599106
DSIO7                    128263001
DSIO8                    93383261
DSIO9                    74450657
DSIO99                   75265158
