Routine                  Checksum
-----------------------------------
DSIO01                   113370102
DSIO02                   21623376
DSIO03                   40980579
DSIO1                    229872005
DSIO10                   118363268
DSIO11                   130011591
DSIO12                   17480668
DSIO13                   6558447
DSIO14                   23728438
DSIO15                   104786485
DSIO2                    44746596
DSIO3                    86326275
DSIO4                    71134568
DSIO5                    21936039
DSIO6                    77783133
DSIO61                   26741009
DSIO62                   13625075
DSIO63                   102479884
DSIO64                   23618473
DSIO65                   178185443
DSIO66                   9587246
DSIO67                   20914624
DSIO7                    125540194
DSIO8                    164625090
DSIO9                    71458566
DSIO99                   77321792
