Routine                  Checksum
-----------------------------------
DSIO01                   41229454
DSIO02                   13634716
DSIO03                   70336940
DSIO04                   170471965
DSIO05                   135866791
DSIO0P                   49855998
DSIO1                    233856753
DSIO10                   124596170
DSIO11                   129347101
DSIO12                   17303948
DSIO13                   6464088
DSIO14                   23508049
DSIO15                   105769910
DSIO2                    48466150
DSIO3                    85909416
DSIO4                    85046712
DSIO5                    19640168
DSIO6                    91678431
DSIO61                   28329570
DSIO62                   19664481
DSIO63                   105822468
DSIO64                   40462388
DSIO65                   187280520
DSIO66                   26683413
DSIO67                   26843295
DSIO7                    125430151
DSIO8                    165206202
DSIO9                    71002033
DSIO99                   75293194
